CITY ,SKILLS,USER NAME
Powai,Machine Learning,Aryan
Bandra,Robotics,Divya
Dadar,Backend Developement,Arjun
Malad,Natural Language Processing,Pooja
Juhu,Artificial Intelligence,Yash
Khar,Cyber Security,Jai
Andheri,Robotics,Yash
Powai,PHP,Ayush
Goregaon,DevOps,Dhruv
Andheri,Python,Varun
Juhu,Python,Anaya
Malad,Machine Learning,Vaibhav
Powai,Machine Learning,Divya
Colaba,Blockchain,Vaibhav
Colaba,Cloud Computing,Anaya
Malad,Blockchain,Neha
Santacruz,Robotics,Manish
Powai,Backend Developement,Vaibhav
Dadar,Full Stack Developer,Neha
Goregaon,Ruby,Vaibhav
Juhu,Backend Developement,Dhruv
Malad,Backend Developement,Shreya
Powai,Blockchain,Riya
Bandra,R,Sanjay
Goregaon,Software Engineering,Akshay
Andheri,Artificial Intelligence,Divya
Andheri,Python,Pooja
Powai,Ruby,Rohan
Andheri,Blockchain,Krish
Colaba,Backend Developement,Divya
Bandra,Software Engineering,Neha
Powai,R,Avani
Powai,Machine Learning,Neha
Khar,Artificial Intelligence,Isha
Colaba,Full Stack Developer,Kavya
Bandra,Cloud Computing,Anaya
Dadar,DevOps,Gauri
Santacruz,Blockchain,Neha
Powai,Natural Language Processing,Jai
Bandra,Java,Avani
Khar,Game Development,Darshan
Malad,Python,Krish
Andheri,R,Ayush
Colaba,Blockchain,Arjun
Andheri,Data Science,Yash
Juhu,C++,Isha
Goregaon,R,Pooja
Bandra,Backend Developement,Isha
Colaba,Data Analytics,Jai
Colaba,Cyber Security,Krish
Khar,Artificial Intelligence,Divya
Dadar,DevOps,Riya
Juhu,Blockchain,Dhruv
Colaba,Machine Learning,Arjun
Dadar,Blockchain,Aryan
Dadar,Computer Vision,Neha
Khar,Robotics,Isha
Juhu,Blockchain,Gauri
Juhu,Software Engineering,Isha
Dadar,Mobile App Development,Dhruv
Andheri,Cyber Security,Yash
Juhu,Data Analytics,Ayush
Andheri,Data Analytics,Varun
Powai,R,Sahil
Khar,JavaScript,Avani
Santacruz,Robotics,Dhruv
Andheri,Blockchain,Krupa
Dadar,Ruby,Anaya
Malad,Backend Developement,Ayush
Santacruz,R,Shreya
Juhu,Computer Vision,Jai
Khar,PHP,Darshan
Andheri,Mobile App Development,Krupa
Colaba,Cloud Computing,Anaya
Juhu,Computer Vision,Dhruv
Powai,Artificial Intelligence,Gauri
Malad,Cloud Computing,Pooja
Powai,Artificial Intelligence,Darshan
Bandra,Game Development,Yash
Colaba,Cloud Computing,Krish
Goregaon,DevOps,Tanvi
Malad,Computer Vision,Varun
Dadar,Natural Language Processing,Kavya
Colaba,Robotics,Hari
Goregaon,Mobile App Development,Shreya
Bandra,Blockchain,Kavya
Malad,Machine Learning,Kavya
Santacruz,Full Stack Developer,Tanvi
Dadar,Software Engineering,Jai
Dadar,Artificial Intelligence,Rohan
Dadar,Full Stack Developer,Manish
Dadar,Artificial Intelligence,Sanjay
Santacruz,R,Nisha
Andheri,Data Analytics,Dhruv
Malad,Machine Learning,Kavya
Goregaon,C++,Ayush
Colaba,Data Analytics,Sahil
Powai,Cyber Security,Akshay
Santacruz,Artificial Intelligence,Sanjay
Santacruz,PHP,Kavya
Andheri,R,Pooja
Santacruz,Data Science,Darshan
Bandra,Database Management Systems,Krish
Juhu,Full Stack Developer,Sanjay
Malad,Mobile App Development,Nisha
Colaba,JavaScript,Arjun
Bandra,Computer Vision,Gauri
Khar,Database Management Systems,Shreya
Colaba,Robotics,Ayush
Bandra,Full Stack Developer,Anaya
Powai,R,Vaibhav
Bandra,Robotics,Nisha
Andheri,JavaScript,Riya
Juhu,Robotics,Isha
Colaba,PHP,Kavya
Juhu,Mobile App Development,Tanvi
Dadar,Cyber Security,Arjun
Powai,Blockchain,Tanvi
Santacruz,Web Development,Nisha
Malad,DevOps,Anaya
Khar,PHP,Riya
Goregaon,C++,Ayush
Goregaon,DevOps,Arjun
